Year,Month,Value
1950,1,20.2
1950,2,20.0
1950,3,21.3
1950,4,20.0
1950,5,20.4
1950,6,19.5
1950,7,19.6
1950,8,20.1
1950,9,21.8
1950,10,19.7
1950,11,21.9
1950,12,20.3
1951,1,21.5
1951,2,23.6
1951,3,20.6
1951,4,21.5
1951,5,19.4
1951,6,18.9
1951,7,19.3
1951,8,20.7
1951,9,21.3
1951,10,20.8
1951,11,20.1
1951,12,20.6
1952,1,21.0
1952,2,19.7
1952,3,20.7
1952,4,20.2
1952,5,21.6
1952,6,21.2
1952,7,20.9
1952,8,22.0
1952,9,19.7
1952,10,20.3
1952,11,21.6
1952,12,20.9
1953,1,19.7
1953,2,20.3
1953,3,22.3
1953,4,21.5
1953,5,22.1
1953,6,20.6
1953,7,22.3
1953,8,21.2
1953,9,20.8
1953,10,21.8
1953,11,21.7
1953,12,23.4
1954,1,21.7
1954,2,20.3
1954,3,21.2
1954,4,22.6
1954,5,20.7
1954,6,23.3
1954,7,20.2
1954,8,22.0
1954,9,22.4
1954,10,21.0
1954,11,21.0
1954,12,21.0
1955,1,20.1
1955,2,22.4
1955,3,22.4
1955,4,21.2
1955,5,20.4
1955,6,22.6
1955,7,21.8
1955,8,22.1
1955,9,21.2
1955,10,22.5
1955,11,21.5
1955,12,20.1
1956,1,21.9
1956,2,21.6
1956,3,22.3
1956,4,21.8
1956,5,21.3
1956,6,20.9
1956,7,21.8
1956,8,21.9
1956,9,22.2
1956,10,19.9
1956,11,21.0
1956,12,22.1
1957,1,22.9
1957,2,21.8
1957,3,22.7
1957,4,23.9
1957,5,22.4
1957,6,20.9
1957,7,21.4
1957,8,23.1
1957,9,21.6
1957,10,22.9
1957,11,22.5
1957,12,20.6
1958,1,21.6
1958,2,22.0
1958,3,22.7
1958,4,22.6
1958,5,22.8
1958,6,21.9
1958,7,20.5
1958,8,23.1
1958,9,21.8
1958,10,21.9
1958,11,22.9
1958,12,22.8
1959,1,24.5
1959,2,23.1
1959,3,23.5
1959,4,24.1
1959,5,23.3
1959,6,23.5
1959,7,21.5
1959,8,22.7
1959,9,23.6
1959,10,23.3
1959,11,21.1
1959,12,25.6
1960,1,21.7
1960,2,25.0
1960,3,23.7
1960,4,22.1
1960,5,23.5
1960,6,21.4
1960,7,23.2
1960,8,23.0
1960,9,22.2
1960,10,24.1
1960,11,20.9
1960,12,22.6
1961,1,23.2
1961,2,20.2
1961,3,22.0
1961,4,21.0
1961,5,21.2
1961,6,22.8
1961,7,23.6
1961,8,23.0
1961,9,24.2
1961,10,21.9
1961,11,24.2
1961,12,23.6
1962,1,22.6
1962,2,22.4
1962,3,23.1
1962,4,23.0
1962,5,21.1
1962,6,23.3
1962,7,25.0
1962,8,23.7
1962,9,24.5
1962,10,24.7
1962,11,23.6
1962,12,23.0
1963,1,23.0
1963,2,24.9
1963,3,23.4
1963,4,23.6
1963,5,24.4
1963,6,25.4
1963,7,24.2
1963,8,21.9
1963,9,24.2
