"REF_DATE","GEO","DGUID","Seasonal adjustment","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1961-01","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","9529","","","","0"
"1961-04","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","10226","","","","0"
"1961-07","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","11373","","","","0"
"1961-10","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","10971","","","","0"
"1962-01","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","10323","","","","0"
"1962-04","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","11000","","","","0"
"1962-07","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","12694","","","","0"
"1962-10","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","11799","","","","0"
"1963-01","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","11026","","","","0"
"1963-04","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","11800","","","","0"
"1963-07","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","13616","","","","0"
"1963-10","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","12860","","","","0"
"1964-01","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","12301","","","","0"
"1964-04","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","13029","","","","0"
"1964-07","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","14785","","","","0"
"1964-10","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","13953","","","","0"
"1965-01","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","13336","","","","0"
"1965-04","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","14309","","","","0"
"1965-07","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","16338","","","","0"
"1965-10","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","15676","","","","0"
"1966-01","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","15007","","","","0"
"1966-04","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","16245","","","","0"
"1966-07","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","18405","","","","0"
"1966-10","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","17152","","","","0"
"1967-01","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","16256","","","","0"
"1967-04","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","17688","","","","0"
"1967-07","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","19419","","","","0"
"1967-10","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","18550","","","","0"
"1968-01","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","17621","","","","0"
"1968-04","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","19037","","","","0"
"1968-07","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","21343","","","","0"
"1968-10","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","20568","","","","0"
"1969-01","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","19591","","","","0"
"1969-04","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","21115","","","","0"
"1969-07","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","23257","","","","0"
"1969-10","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","22555","","","","0"
"1970-01","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","21543","","","","0"
"1970-04","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","22903","","","","0"
"1970-07","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","24703","","","","0"
"1970-10","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","24088","","","","0"
