Year,Quarter,Data
1960,1,393
1960,2,463
1960,3,439
1960,4,518
1961,1,401
1961,2,468
1961,3,458
1961,4,539
1962,1,420
1962,2,492
1962,3,470
1962,4,546
1963,1,430
1963,2,502
1963,3,482
1963,4,564
1964,1,452
1964,2,520
1964,3,505
1964,4,576
1965,1,459
1965,2,522
1965,3,515
1965,4,581
1966,1,466
1966,2,542
1966,3,530
1966,4,608
1967,1,492
1967,2,559
1967,3,546
1967,4,613
1968,1,511
1968,2,588
1968,3,560
1968,4,633
1969,1,524
1969,2,593
1969,3,568
1969,4,647
1970,1,540
1970,2,603
1970,3,587
1970,4,664
1971,1,562
1971,2,644
1971,3,613
1971,4,684
1972,1,569
1972,2,645
1972,3,627
1972,4,695
1973,1,582
1973,2,672
1973,3,649
1973,4,721
1974,1,622
1974,2,683
1974,3,665
1974,4,742
1975,1,644
1975,2,712
1975,3,691
1975,4,763
1976,1,651
1976,2,741
1976,3,717
1976,4,777
1977,1,670
1977,2,760
1977,3,741
1977,4,809
1978,1,690
1978,2,771
1978,3,753
1978,4,837
1979,1,722
1979,2,788
1979,3,782
1979,4,862
1980,1,748
1980,2,827
1980,3,806
1980,4,882
1981,1,759
1981,2,843
1981,3,841
1981,4,922
1982,1,777
1982,2,861
1982,3,839
1982,4,929
1983,1,814
1983,2,883
1983,3,870
1983,4,945
1984,1,851
1984,2,911
1984,3,891
1984,4,962
1985,1,848
1985,2,926
1985,3,916
1985,4,1012
1986,1,914
1986,2,990
1986,3,963
1986,4,1056
1987,1,937
1987,2,1009
1987,3,975
1987,4,1059
1988,1,980
1988,2,1022
1988,3,1009
1988,4,1072
1989,1,962
1989,2,1057
1989,3,1039
1989,4,1108
1990,1,1019
1990,2,1099
1990,3,1097
1990,4,1170
1991,1,1070
1991,2,1136
1991,3,1129
1991,4,1189
1992,1,1081
1992,2,1166
1992,3,1122
1992,4,1215
1993,1,1110
1993,2,1172
1993,3,1166
1993,4,1264
1994,1,1143
1994,2,1204
1994,3,1202
1994,4,1298
1995,1,1182
1995,2,1251
1995,3,1244
1995,4,1299
1996,1,1208
1996,2,1307
1996,3,1306
1996,4,1373
1997,1,1266
1997,2,1343
1997,3,1297
1997,4,1400
1998,1,1313
1998,2,1394
1998,3,1367
1998,4,1468
1999,1,1337
1999,2,1415
1999,3,1391
1999,4,1464
2000,1,1348
2000,2,1452
2000,3,1441
2000,4,1533
2001,1,1439
2001,2,1517
2001,3,1480
2001,4,1563
2002,1,1469
2002,2,1543
2002,3,1530
2002,4,1606
2003,1,1465
2003,2,1564
2003,3,1567
2003,4,1643
2004,1,1564
2004,2,1619
2004,3,1622
2004,4,1712
2005,1,1610
2005,2,1682
2005,3,1673
2005,4,1759
2006,1,1642
2006,2,1725
2006,3,1682
2006,4,1767
2007,1,1674
2007,2,1748
2007,3,1739
2007,4,1826
2008,1,1765
2008,2,1843
2008,3,1835
2008,4,1928
2009,1,1790
2009,2,1893
2009,3,1860
2009,4,1905
2010,1,1855
2010,2,1929
2010,3,1910
2010,4,2008
2011,1,1917
2011,2,2021
2011,3,2020
2011,4,2105
2012,1,1998
2012,2,2046
2012,3,2042
2012,4,2095
2013,1,2003
2013,2,2094
2013,3,2108
2013,4,2196
2014,1,2096
2014,2,2178
2014,3,2148
2014,4,2245
2015,1,2114
2015,2,2231
2015,3,2249
2015,4,2308
2016,1,2228
2016,2,2290
2016,3,2274
2016,4,2342
2017,1,2283
2017,2,2325
2017,3,2317
2017,4,2411
2018,1,2293
2018,2,2371
2018,3,2395
2018,4,2488
2019,1,2419
2019,2,2504
2019,3,2511
2019,4,2595
