"Year","Quarter","Expenditure"
1950,1,1017
1950,2,1021
1950,3,1058
1950,4,1122
1951,1,1194
1951,2,1075
1951,3,1072
1951,4,1100
1952,1,1198
1952,2,1147
1952,3,1041
1952,4,1096
1953,1,1101
1953,2,1075
1953,3,1047
1953,4,1172
1954,1,1212
1954,2,1075
1954,3,1104
1954,4,1131
1955,1,1219
1955,2,1204
1955,3,1171
1955,4,1213
1956,1,1217
1956,2,1152
1956,3,1192
1956,4,1181
1957,1,1236
1957,2,1139
1957,3,1135
1957,4,1248
1958,1,1235
1958,2,1175
1958,3,1150
1958,4,1227
1959,1,1244
1959,2,1145
1959,3,1179
1959,4,1249
1960,1,1268
1960,2,1163
1960,3,1161
1960,4,1278
1961,1,1228
1961,2,1233
1961,3,1204
1961,4,1298
1962,1,1217
1962,2,1186
1962,3,1165
1962,4,1249
1963,1,1274
1963,2,1174
1963,3,1193
1963,4,1358
1964,1,1341
1964,2,1272
1964,3,1248
1964,4,1302
1965,1,1304
1965,2,1282
1965,3,1259
1965,4,1313
1966,1,1347
1966,2,1295
1966,3,1271
1966,4,1318
1967,1,1340
1967,2,1273
1967,3,1242
1967,4,1359
1968,1,1315
1968,2,1268
1968,3,1276
1968,4,1364
1969,1,1413
1969,2,1310
1969,3,1376
1969,4,1445
1970,1,1473
1970,2,1346
1970,3,1326
1970,4,1437
1971,1,1420
1971,2,1378
1971,3,1393
1971,4,1436
1972,1,1428
1972,2,1373
1972,3,1329
1972,4,1411
1973,1,1406
1973,2,1345
1973,3,1357
1973,4,1420
1974,1,1469
1974,2,1424
1974,3,1358
1974,4,1422
1975,1,1365
1975,2,1384
1975,3,1454
1975,4,1515
1976,1,1497
1976,2,1402
1976,3,1357
1976,4,1442
1977,1,1398
1977,2,1287
1977,3,1290
1977,4,1435
1978,1,1458
1978,2,1422
1978,3,1379
1978,4,1481
1979,1,1481
1979,2,1393
1979,3,1405
1979,4,1440
1980,1,1412
1980,2,1378
1980,3,1443
1980,4,1459
1981,1,1395
1981,2,1348
1981,3,1402
1981,4,1426
1982,1,1446
1982,2,1464
1982,3,1447
1982,4,1493
1983,1,1450
1983,2,1438
1983,3,1425
1983,4,1575
1984,1,1584
1984,2,1472
1984,3,1450
1984,4,1576
1985,1,1505
1985,2,1436
1985,3,1408
1985,4,1427
1986,1,1493
1986,2,1477
1986,3,1457
1986,4,1560
1987,1,1542
1987,2,1473
1987,3,1444
1987,4,1455
1988,1,1487
1988,2,1469
1988,3,1463
1988,4,1534
1989,1,1591
1989,2,1495
1989,3,1436
1989,4,1521
1990,1,1563
1990,2,1515
1990,3,1473
1990,4,1568
1991,1,1575
1991,2,1504
1991,3,1514
1991,4,1612
1992,1,1620
1992,2,1554
1992,3,1512
1992,4,1567
1993,1,1551
1993,2,1548
1993,3,1516
1993,4,1600
1994,1,1660
1994,2,1571
1994,3,1588
1994,4,1618
1995,1,1629
1995,2,1522
1995,3,1542
1995,4,1606
1996,1,1588
1996,2,1566
1996,3,1548
1996,4,1598
1997,1,1586
1997,2,1599
1997,3,1576
1997,4,1711
1998,1,1722
1998,2,1616
1998,3,1553
1998,4,1632
1999,1,1661
1999,2,1544
1999,3,1581
1999,4,1620
2000,1,1653
2000,2,1539
2000,3,1603
2000,4,1617
2001,1,1639
2001,2,1592
2001,3,1569
2001,4,1643
2002,1,1647
2002,2,1606
2002,3,1555
2002,4,1632
2003,1,1615
2003,2,1579
2003,3,1571
2003,4,1656
2004,1,1680
2004,2,1575
2004,3,1546
2004,4,1643
2005,1,1680
2005,2,1605
2005,3,1573
2005,4,1612
2006,1,1595
2006,2,1608
2006,3,1545
2006,4,1625
2007,1,1680
2007,2,1591
2007,3,1526
2007,4,1610
2008,1,1663
2008,2,1665
2008,3,1580
2008,4,1653
2009,1,1647
2009,2,1610
2009,3,1624
2009,4,1682
2010,1,1619
2010,2,1701
2010,3,1681
2010,4,1662
2011,1,1696
2011,2,1625
2011,3,1597
2011,4,1711
2012,1,1699
2012,2,1629
2012,3,1618
2012,4,1752
2013,1,1737
2013,2,1692
2013,3,1633
2013,4,1675
2014,1,1687
2014,2,1676
2014,3,1640
2014,4,1718
2015,1,1772
2015,2,1717
2015,3,1662
2015,4,1709
2016,1,1699
2016,2,1674
2016,3,1637
2016,4,1720
2017,1,1680
2017,2,1620
2017,3,1675
2017,4,1673
2018,1,1673
2018,2,1588
2018,3,1559
2018,4,1620
2019,1,1643
2019,2,1625
2019,3,1599
2019,4,1590
2020,1,1678
2020,2,1637
2020,3,1621
2020,4,1706
